parcel_id,register_number,coverage_pct
DCC000064090,VS-0976,99.9
DCC000064100,VS-0003,99.9
DCC000064103,VS-0117,99.5
DCC000064112,VS-0019,100.0
DCC000064116,VS-0028,100.0
DCC000064117,VS-0124,100.0
DCC000064118,VS-0131,99.9
DCC000064122,VS-0043,99.7
DCC000064143,VS-0011,69.3
DCC000064149,VS-0864,100.0
DCC000064151,VS-0542,100.0
DCC000064189,VS-1077,100.0
