register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0501,2836/07,2007-04-25,Permission,Granted,APPLICATION DECLARED INVA,2007-05-08,Fairview Building Company Ltd,Permission for alterations and extensions to appro,96.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2836%2F07
VS-0501,5323/06,2006-09-29,Permission,Refused,REFUSE PERMISSION,2006-11-23,Fairview Building Company Ltd,erection of advertising signage,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5323%2F06
VS-0501,3195/06,2006-09-13,Permission,Granted,GRANT PERMISSION,2006-10-11,Fairview Building Company Limited,changes to approved development (Reg. Ref .Nos. 11,98.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3195%2F06
VS-0501,1817/97,1997-07-16,Permission,Granted,GRANT PERMISSION,1997-09-12,"Mr. B Murphy,",Off-street car parking to front garden.,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1817%2F97
VS-0542,WEBLRD6066/25-S3,2025-05-21,Large Residential Development-3         ,Granted,GRANT PERMISSION         ,2025-07-15,Jamestown Village Limited,"We, Jamestown Village Limited, intend to apply for planning permission for devel",95.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEBLRD6066%2F25-S3
VS-0542,2709/04,2004-05-06,Permission,Granted,GRANT PERMISSION,2004-06-25,Saga Developments Ltd,The developments will consist of the removal of th,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2709%2F04
VS-0542,3918/03,2003-08-15,Permission,Granted,GRANT PERMISSION,2003-09-29,Coffey Healthcare,insertion of 4 no. windows and steet door to the e,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3918%2F03
VS-0542,0163/00,2000-01-27,Permission,Granted,GRANT PERMISSION,2000-03-21,"WI Ltd.,",The erection of 2 no. ESB sub-stations as part of,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0163%2F00
VS-0542,2222/98,1998-07-30,Permission,Granted,GRANT PERMISSION,1998-09-25,"W.I. Ltd.,",Alterations to previously approved development (Pl,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2222%2F98
VS-0542,2958/97,1997-11-24,Permission,Granted,GRANT PERMISSION,1998-01-15,Patrick Reynolds.,Extension to the ground floor apartment.,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2958%2F97
