register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0979,2443/18,2018-03-07,LAW,Other,City Council - Approved,2018-06-11,Dublin City Council,LAW: Two storey extension to the existing Tunnel C,0.1,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2443%2F18
VS-0979,3052/16,2016-06-03,Permission,Granted,GRANT PERMISSION,2016-07-28,ESB,Temporary surface car park for a period of max 5 y,0.1,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3052%2F16
VS-0979,PAC0116/16,2016-03-07,Pre-Application Consultation,Undecided,,,Gerard Crowley ESB,PAC: temporary relocation from Fitzwilliam St. for,0.1,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=PAC0116%2F16
VS-0979,3484/15,2015-08-25,Permission,Granted,APPLICATION DECLARED INVA,2015-09-23,Gary Keville Transport Ltd.,Provision of temporary single storey office buildi,0.1,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3484%2F15
VS-0979,2552/15,2015-08-21,Permission,Granted,GRANT PERMISSION,2015-10-15,Fingleton White,PROTECTED STRUCTURE: Pipeline from Dublin Port to,0.0,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2552%2F15
VS-1077,4811/19,2019-12-23,Permission,Granted,APPLICATION DECLARED INVA,2020-01-17,Iveagh Markets Hotels Limited, PROTECTED STRUCTURE: Iveagh Markets Hotels Limite,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4811%2F19
VS-1077,1238/07,2007-01-19,Permission,Granted,GRANT PERMISSION,2007-03-15,Lord Iveagh Hotels and Markets Ltd,PROTECTED STRUCTURE - Mixed use development Hotel,99.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1238%2F07
VS-1077,1606/04,2004-05-27,Permission,Granted,GRANT PERMISSION,2004-06-23,Christchurch Developments (Dublin) Ltd.,Demolition & construction of mixed use development,73.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1606%2F04
VS-1077,1190/04,2004-01-22,Permission,Granted,APPLICATION DECLARED INVA,2004-02-11,Christchurch Developments (Dublin) Ltd.,PROTECTED STRUCTURE Construction of mixed use deve,99.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1190%2F04
VS-1077,1054/98,1998-04-17,Permission,Refused,REFUSE PERMISSION,1998-06-11,Zoe Developments Limited.,Alteration to previously approved development,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1054%2F98
