derelict_site_reference_number,full_address,administrative_area_name,derelict_site_status,is_on_current_derelict_sites_register,is_active_derelict_site_case,is_on_current_record_of_protected_structures,is_owned_by_dublin_city_council,date_added_to_the_derelict_sites_register,most_recent_update_date,derelict_site_description,site_location_latitude,site_location_longitude
DS1518,43 Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 43, Dublin 8",53.3348764499,-6.290038617
DS1125,47 Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 47, Dublin 8",53.33506563,-6.28994803
DS1287,12 Artane Cottages Lower Malahide Road Dublin 5 D05V4Y8,North Central,On Derelict Sites Register,Yes,Yes,No,No,2024-11-27,16/07/2026,"Artane Cottages Lower 12, Malahide Road, Dublin 5",53.3800239199,-6.2099024289
DS1563,19 Botanic Avenue Dublin 9 D09A6W8,Central,On Derelict Sites Register,Yes,Yes,No,No,2023-07-04,16/07/2026,"Botanic Avenue, 19, Glasnevin, Dublin 9",53.37217483,-6.266808149
DS1128,50 Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 50, Dublin 8",53.33529322,-6.28984706
DS1066,"5 Glenarm Avenue, Dublin 9, D09 E8H7",Central,On Derelict Sites Register,Yes,Yes,No,No,2022-11-24,16/07/2026,"Glenarm Avenue, 5, Dublin 9",53.36636433,-6.25752294
DS1105,~|~~|~,South Central,On Derelict Sites Register,Yes,Yes,No,No,2023-05-11,16/07/2026,"Emmet Road, 105-107, Former Horse & Jockey Pub, Dublin 8",53.340594705,-6.3149031026
DS580,86 King Street North Dublin 7,Central,On Derelict Sites Register,Yes,Yes,No,No,2020-07-14,16/07/2026,"North King Street, 86, Smithfield, Dublin 7",53.3498636999,-6.278855814
DS1127,49 Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 49, Dublin 8",53.3352093262,-6.2898849901
DS1005,2 ANNESLEY PLACE DUBLIN 3 D03T620  ,Central,On Derelict Sites Register,Yes,Yes,No,No,2025-04-14,16/07/2026,"Annesley Place, 2, North Strand, Dublin 3",53.35946506,-6.240732458
DS1616,"132 Morehampton Road, Dublin 4,  D04 K2P5",South East,On Derelict Sites Register,Yes,Yes,No,No,2024-07-30,16/07/2026,"Morehampton Road, 132, Donnybrook, Dublin 4",53.3228594199,-6.237689358
DS1386,53 Shelmalier Road Dublin 3 D03X512,Central,On Derelict Sites Register,Yes,Yes,No,No,2023-09-14,16/07/2026,"Shelmalier Road, 53, East Wall, Dublin 3",53.3551543599,-6.233677188
