parcel_id,zone_gzt,zone_orig,zone_desc,site_area_ha,date_added,former_vacant_sites
DCC000064136,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.235,2022-01-01,
DCC000064137,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.792,2022-01-01,
DCC000064138,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.41,2022-01-01,
DCC000064139,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",3.617,2022-01-01,
DCC000064140,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",5.745,2022-01-01,
DCC000064141,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.303,2022-01-01,
DCC000064142,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",10.699,2022-01-01,
DCC000064143,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.767,2022-01-01,
DCC000064144,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.689,2022-01-01,
DCC000064145,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",4.712,2022-01-01,
DCC000064146,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.134,2022-01-01,
DCC000064147,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.143,2022-01-01,
DCC000064149,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.465,2022-01-01,
DCC000064150,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",3.591,2022-01-01,
DCC000064151,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.57,2022-01-01,
DCC000064152,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.46,2022-01-01,
DCC000064153,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,1.079,2022-01-01,
DCC000064155,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.447,2022-01-01,
DCC000064156,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.061,2022-01-01,
DCC000064157,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.077,2022-01-01,
DCC000064158,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.155,2022-01-01,
DCC000064159,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,0.484,2022-01-01,
DCC000064160,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.322,2022-01-01,
DCC000064161,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.053,2022-01-01,
DCC000064162,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.155,2022-01-01,
DCC000064163,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.007,2022-01-01,
DCC000064164,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.038,2022-01-01,
DCC000064165,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.043,2022-01-01,
DCC000064166,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.044,2022-01-01,
DCC000064167,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.024,2022-01-01,
DCC000064168,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.028,2022-01-01,
DCC000064169,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.018,2022-01-01,
DCC000064170,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.031,2022-01-01,
DCC000064171,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.044,2022-01-01,
