register_number,address,register_status,priority_code,folio_reference,ownership,owner_address,valuation,valuation_date,date_registered,linked_planning_ref_count
VS-0501,"61-65 Fairview Strand, Esmond Avenue, Fairview, Dublin 3",Vacant - Suitable,1,Unregistered,Banner A Cuig Limited,"Sovereign House, No. 4 Christian Road, Douglas, Isle of Man, IM1 2SD",1500000,2021-08-03,2018-05-17,14
VS-0542,"Former factory site, Finglas Business Centre, Jamestown Road, Finglas, Dublin 11",Vacant - Suitable,1,7728; 5427,Jamestown Village Limited,"76 Baggot Street Lower, Dublin 2. D02 EK81",3420000,2022-11-07,2019-04-16,6
VS-0559,"Site adjacent to former Ardmore Hotel, Finglas Road, Dublin 11",Vacant - Suitable,1,144026L,CareChoice Finglas Limited,"CareChoice, First Floor, Block 10-2, Blanchardstown Corporate, Park 1, Blanchardstown, Dublin 15",500000,2022-11-10,2019-08-26,10
VS-0724,"Liffey Street South, Kilmainham, Dublin 10",Vacant - Suitable,1,Unregistered,Mr. Thomas Corcoran,"Buseyhill House, Athgoe, Newcastle, Co. Dublin",500000,2021-08-03,2018-05-17,8
VS-0748,"Site at the rear of 44 Parnell Road, Harold's Cross, Dublin 6",Vacant - Suitable,1,DN163389L,Tinnelly Construction Limited,"10 Newtown Road, Rostrevor, Co. Down, BT34 3BY",600000,2019-09-09,2019-08-26,13
VS-0800,"Lands of the Former Paper Mills, Clonskeagh Road, Clonskeagh, Dublin 6",Vacant - Suitable,1,DN223724F; DN79256L,Harley Issuer DAC,"MFD Secretaries Limited, 32 Molesworth Street, Dublin 2",10000000,2022-04-05,2022-04-05,15
VS-0864,"Former Long Mile Works, Long Mile Road, Dublin 12",Vacant - Suitable,1,DN7122; DN8028,General Motors IT Services (Ireland) Limited,"Rear of Long Mile Works, Long Mile Road, Dublin 12",1500000,2022-04-05,2022-04-05,4
VS-0976,"Drake Inn, 59-60 Main Street, Finglas, Dublin 11",Vacant - Suitable,1,Unregistered,Mulsh Sarl,"C/O Mr. John Walsh, Route de Corsy 17, 1093 La Conversion, Switzerland",550000,2022-11-07,2019-04-16,5
VS-0979,"Site adjacent to the Tunnel Control Building, East Wall Road, Dublin 3",Vacant - Suitable,1,Unregistered,Dublin Port Company,"Port Centre, Alexander Road, Dublin 1, D01 H4C6",4000000,2019-01-21,2018-05-17,6
VS-1077,"40-48 Back Lane (former Mother Redcaps Market), Dublin 8",Vacant - Suitable,1,DN60067F,Redcaps Development Limited,"6 Anglesea Street, Temple Bar, Dublin 2, D02 FK84",4600000,2018-05-21,2018-05-17,5
