register_number,address,folio_reference,ownership,owner_address,market_value,valuation_date,date_entered,last_seen
VS-0040,"Former Boys Brigade football pitches (off South Circular Road), Dublin 8",DN150942F; unregistered,Dublin City Council,"Civic Offices, Wood Quay, Dublin 8, D08 RF3F",15500000,2021-04-01,2017-11-28,2023-04-12
VS-0075,"Corner of Werburgh Street and Ship Street Little, Dublin 8",Unregistered,Dublin City Council,"Civic Offices, Wood Quay, Dublin 8, D08 RF3F",340000,2021-04-01,2017-07-28,2023-04-12
VS-0457,"Site to the rear of Unit 14, Block 2, Tolka Valley Industrial Estate, Ballyboggan Road, Dublin 11",Unregistered,Bartra Property (Broombridge) Limited,"Third Floor, Longphort House, Earlsfort Centre, Earlsfort Terrace, Dublin 2",1300000,2021-04-01,2017-11-28,2023-04-12
VS-0596,"Site at Oscar Traynor Road, Dublin 5",DN18193F; DN18194F,Dublin City Council,"Civic Offices, Wood Quay, Dublin 8, D08 RF3F",45000000,2022-10-26,2019-04-16,2023-04-12
VS-0621,"Former Tayto Site, Greencastle Road, Dublin 17",DN223724F; DN79256L,"T. Stafford & Sons, Unlimited Company","60 North Strand Road, Dublin 3, D03 HC96",2250000,2022-09-08,2022-04-05,2023-04-12
VS-0693,"Site on Davitt Road (former Heidelberg site), Dublin 12",210130F; 158116L,Heidelberg Davitt Limited,"Marine House, Clanwilliam Court, Dublin 2",4000000,2019-12-02,2019-10-31,2023-04-12
VS-0797,"Site at the junction of Appian Way, Dublin 6 and Leeson Street Upper, Dublin 4 (adjacent to no. 1 Leeson Village and the Mitchel House Apartments)",Unregistered,RGRE J & R Valery's Limited,"C/O Cooney Carey Consulting Limited, Units 15/16 The Courtyard, Carmanhall Road, Sandyford, Dublin 18",4000000,2022-11-01,2019-04-16,2023-04-12
VS-1080,"51-52 Charles Street Great, Dublin 1",Unregistered,Cluid Housing Association,"159-161 Sheriff Street Upper, Dublin 1",3200000,2021-08-03,2018-05-17,2023-04-12
